,member_id,member_name,gender,age,membership_type,preferred_facility,join_date,expiry_date,status
348,M00349,Member 349,male,43,annual,basketball,2025-02-27,2026-02-27,expired
349,M00350,Member 350,Female,59,quarterly,badminton,2025-12-12,2026-03-12,expired
350,M00351,Member 351,Female,35,monthly,football,2026-04-19,2026-05-19,expired
351,M00352,Member 352,male,39,annual,gym,2025-04-27,2026-04-27,expired
352,M00353,Member 353,male,65,monthly,football,2025-05-07,2025-06-06,expired
353,M00354,Member 354,male,64,monthly,swimming pool,2026-01-28,2026-02-27,expired
354,M00355,Member 355,Female,47,quarterly,basketball,2025-02-27,2025-05-28,expired
355,M00356,Member 356,male,56,monthly,basketball,2026-05-28,2026-06-27,expired
356,M00357,Member 357,male,51,annual,swimming pool,2025-04-06,2026-04-06,expired
357,M00358,Member 358,Female,49,quarterly,badminton,2025-04-28,2025-07-27,expired
358,M00359,Member 359,male,51,quarterly,badminton,2026-07-14,2026-10-12,active
359,M00360,Member 360,Female,17,monthly,basketball,2026-08-24,2026-09-23,active
360,M00361,Member 361,male,30,monthly,basketball,2026-05-03,2026-06-02,expired
361,M00362,Member 362,male,49,monthly,gym,2025-08-25,2025-09-24,expired
362,M00363,Member 363,male,51,quarterly,badminton,2025-09-29,2025-12-28,expired
363,M00364,Member 364,Female,21,monthly,swimming pool,2025-07-08,2025-08-07,expired
364,M00365,Member 365,Female,54,monthly,badminton,2026-03-23,2026-04-22,expired
365,M00366,Member 366,Female,57,quarterly,gym,2026-08-04,2026-11-02,active
366,M00367,Member 367,male,27,monthly,basketball,2025-09-04,2025-10-04,expired
367,M00368,Member 368,Female,18,quarterly,basketball,2025-03-17,2025-06-15,expired
368,M00369,Member 369,male,60,monthly,gym,2025-06-03,2025-07-03,expired
369,M00370,Member 370,male,33,annual,swimming pool,2026-03-11,2027-03-11,active
370,M00371,Member 371,Female,55,monthly,basketball,2025-03-27,2025-04-26,expired
371,M00372,Member 372,male,36,monthly,football,2025-10-12,2025-11-11,expired
372,M00373,Member 373,male,30,monthly,basketball,2025-08-08,2025-09-07,expired
373,M00374,Member 374,male,48,monthly,football,2025-03-10,2025-04-09,expired
374,M00375,Member 375,male,50,quarterly,gym,2025-02-16,2025-05-17,expired
375,M00376,Member 376,male,41,quarterly,gym,2025-04-04,2025-07-03,expired
376,M00377,Member 377,Female,23,quarterly,basketball,2026-03-29,2026-06-27,expired
377,M00378,Member 378,male,51,monthly,badminton,2025-07-23,2025-08-22,expired
378,M00379,Member 379,Female,63,monthly,football,2025-08-06,2025-09-05,expired
379,M00380,Member 380,Female,45,monthly,swimming pool,2026-04-19,2026-05-19,expired
380,M00381,Member 381,male,38,quarterly,basketball,2026-03-08,2026-06-06,expired
381,M00382,Member 382,male,57,annual,swimming pool,2025-12-07,2026-12-07,active
382,M00383,Member 383,male,59,monthly,basketball,2026-07-05,2026-08-04,expired
383,M00384,Member 384,Female,29,monthly,badminton,2025-10-16,2025-11-15,expired
384,M00385,Member 385,male,29,quarterly,badminton,2025-09-11,2025-12-10,expired
385,M00386,Member 386,Female,17,annual,badminton,2025-12-23,2026-12-23,active
386,M00387,Member 387,male,52,quarterly,badminton,2025-01-23,2025-04-23,expired
387,M00388,Member 388,Female,20,annual,gym,2026-06-06,2027-06-06,active
388,M00389,Member 389,male,53,monthly,gym,2025-04-10,2025-05-10,expired
389,M00390,Member 390,male,60,monthly,football,2025-06-29,2025-07-29,expired
390,M00391,Member 391,Female,56,annual,swimming pool,2025-08-11,2026-08-11,expired
391,M00392,Member 392,Female,62,quarterly,basketball,2026-03-18,2026-06-16,expired
392,M00393,Member 393,male,29,monthly,basketball,2026-08-31,2026-09-30,active
393,M00394,Member 394,Female,54,quarterly,gym,2025-11-21,2026-02-19,expired
394,M00395,Member 395,male,40,annual,basketball,2026-05-31,2027-05-31,active
395,M00396,Member 396,Female,35,quarterly,gym,2025-01-16,2025-04-16,expired
396,M00397,Member 397,Female,17,quarterly,football,2025-12-02,2026-03-02,expired
397,M00398,Member 398,male,54,monthly,swimming pool,2025-09-15,2025-10-15,expired
398,M00399,Member 399,male,21,monthly,football,2026-05-12,2026-06-11,expired
399,M00400,Member 400,male,32,monthly,badminton,2025-06-09,2025-07-09,expired
400,M00401,Member 401,male,40,annual,badminton,2026-04-20,2027-04-20,active
401,M00402,Member 402,Female,43,annual,badminton,2026-01-15,2027-01-15,active
402,M00403,Member 403,male,17,annual,football,2026-06-29,2027-06-29,active
403,M00404,Member 404,male,50,monthly,basketball,2026-03-03,2026-04-02,expired
404,M00405,Member 405,Female,52,quarterly,swimming pool,2025-09-25,2025-12-24,expired
405,M00406,Member 406,Female,20,quarterly,badminton,2026-07-31,2026-10-29,active
406,M00407,Member 407,male,16,quarterly,badminton,2026-02-21,2026-05-22,expired
407,M00408,Member 408,male,55,quarterly,badminton,2025-06-17,2025-09-15,expired
408,M00409,Member 409,male,27,annual,swimming pool,2025-02-12,2026-02-12,expired
409,M00410,Member 410,male,51,monthly,badminton,2026-07-10,2026-08-09,expired
410,M00411,Member 411,Female,60,monthly,swimming pool,2025-10-12,2025-11-11,expired
411,M00412,Member 412,male,38,monthly,badminton,2026-02-01,2026-03-03,expired
412,M00413,Member 413,Female,62,monthly,football,2025-01-12,2025-02-11,expired
413,M00414,Member 414,male,46,quarterly,football,2026-08-30,2026-11-28,active
414,M00415,Member 415,Female,26,quarterly,swimming pool,2025-10-29,2026-01-27,expired
415,M00416,Member 416,Female,25,monthly,football,2025-09-10,2025-10-10,expired
416,M00417,Member 417,Female,18,monthly,swimming pool,2026-05-14,2026-06-13,expired
417,M00418,Member 418,male,29,quarterly,football,2025-02-04,2025-05-05,expired
418,M00419,Member 419,male,31,monthly,football,2025-03-31,2025-04-30,expired
419,M00420,Member 420,male,25,monthly,swimming pool,2026-08-28,2026-09-27,active
420,M00421,Member 421,Female,44,monthly,basketball,2026-08-25,2026-09-24,active
421,M00422,Member 422,Female,25,monthly,football,2026-02-22,2026-03-24,expired
422,M00423,Member 423,Female,27,monthly,badminton,2025-04-25,2025-05-25,expired
423,M00424,Member 424,Female,45,monthly,basketball,2025-07-15,2025-08-14,expired
424,M00425,Member 425,Female,56,monthly,swimming pool,2026-05-16,2026-06-15,expired
425,M00426,Member 426,male,16,annual,basketball,2026-05-08,2027-05-08,active
426,M00427,Member 427,Female,20,monthly,gym,2025-03-16,2025-04-15,expired
427,M00428,Member 428,male,35,quarterly,gym,2026-02-17,2026-05-18,expired
428,M00429,Member 429,male,23,monthly,football,2026-01-11,2026-02-10,expired
429,M00430,Member 430,male,58,monthly,football,2026-02-24,2026-03-26,expired
430,M00431,Member 431,male,27,quarterly,badminton,2025-10-04,2026-01-02,expired
431,M00432,Member 432,male,16,monthly,basketball,2026-01-29,2026-02-28,expired
432,M00433,Member 433,Female,35,monthly,gym,2026-04-02,2026-05-02,expired
433,M00434,Member 434,male,43,quarterly,football,2025-07-11,2025-10-09,expired
434,M00435,Member 435,Female,58,quarterly,basketball,2025-04-09,2025-07-08,expired
435,M00436,Member 436,male,52,monthly,football,2026-07-02,2026-08-01,expired
436,M00437,Member 437,male,62,monthly,football,2025-04-06,2025-05-06,expired
437,M00438,Member 438,male,52,quarterly,gym,2025-07-09,2025-10-07,expired
438,M00439,Member 439,male,27,monthly,gym,2025-02-06,2025-03-08,expired
439,M00440,Member 440,Female,52,quarterly,football,2026-01-04,2026-04-04,expired
440,M00441,Member 441,male,64,quarterly,swimming pool,2026-06-09,2026-09-07,active
441,M00442,Member 442,Female,64,annual,football,2025-10-06,2026-10-06,active
442,M00443,Member 443,male,59,monthly,football,2025-08-05,2025-09-04,expired
443,M00444,Member 444,Female,43,annual,badminton,2025-09-30,2026-09-30,active
444,M00445,Member 445,Female,62,monthly,badminton,2025-03-03,2025-04-02,expired
445,M00446,Member 446,Female,30,monthly,badminton,2026-08-19,2026-09-18,active
446,M00447,Member 447,male,21,monthly,swimming pool,2025-12-08,2026-01-07,expired
447,M00448,Member 448,male,59,quarterly,swimming pool,2026-02-01,2026-05-02,expired
448,M00449,Member 449,male,35,monthly,football,2025-01-19,2025-02-18,expired
449,M00450,Member 450,Female,65,monthly,badminton,2025-06-26,2025-07-26,expired
450,M00451,Member 451,male,29,monthly,swimming pool,2026-01-31,2026-03-02,expired
451,M00452,Member 452,male,17,annual,gym,2026-03-21,2027-03-21,active
452,M00453,Member 453,Female,24,quarterly,football,2025-08-21,2025-11-19,expired
453,M00454,Member 454,male,52,quarterly,basketball,2025-03-17,2025-06-15,expired
454,M00455,Member 455,Female,35,monthly,football,2025-09-22,2025-10-22,expired
455,M00456,Member 456,male,41,monthly,basketball,2026-03-31,2026-04-30,expired
456,M00457,Member 457,male,44,quarterly,badminton,2026-01-19,2026-04-19,expired
457,M00458,Member 458,Female,16,monthly,basketball,2026-07-18,2026-08-17,expired
458,M00459,Member 459,male,50,monthly,badminton,2026-05-21,2026-06-20,expired
459,M00460,Member 460,Female,21,quarterly,gym,2026-01-02,2026-04-02,expired
460,M00461,Member 461,male,52,annual,basketball,2025-05-24,2026-05-24,expired
461,M00462,Member 462,male,20,quarterly,football,2025-03-10,2025-06-08,expired
462,M00463,Member 463,Female,48,quarterly,badminton,2025-04-09,2025-07-08,expired
463,M00464,Member 464,Female,64,annual,football,2026-01-31,2027-01-31,active
464,M00465,Member 465,Female,29,monthly,swimming pool,2025-01-25,2025-02-24,expired
465,M00466,Member 466,male,27,quarterly,badminton,2026-04-14,2026-07-13,expired
466,M00467,Member 467,Female,57,annual,basketball,2026-04-29,2027-04-29,active
467,M00468,Member 468,male,35,monthly,badminton,2026-07-19,2026-08-18,expired
468,M00469,Member 469,male,65,quarterly,football,2025-05-31,2025-08-29,expired
469,M00470,Member 470,Female,39,quarterly,gym,2025-05-24,2025-08-22,expired
470,M00471,Member 471,male,58,quarterly,badminton,2026-07-23,2026-10-21,active
471,M00472,Member 472,Female,49,quarterly,basketball,2025-02-08,2025-05-09,expired
472,M00473,Member 473,male,40,annual,swimming pool,2025-04-19,2026-04-19,expired
473,M00474,Member 474,male,65,quarterly,gym,2025-02-11,2025-05-12,expired
474,M00475,Member 475,male,44,monthly,swimming pool,2025-07-05,2025-08-04,expired
475,M00476,Member 476,Female,54,annual,badminton,2026-02-02,2027-02-02,active
476,M00477,Member 477,Female,46,monthly,football,2025-08-11,2025-09-10,expired
477,M00478,Member 478,Female,62,monthly,football,2025-05-13,2025-06-12,expired
478,M00479,Member 479,Female,58,monthly,basketball,2025-06-12,2025-07-12,expired
479,M00480,Member 480,Female,65,monthly,football,2025-08-03,2025-09-02,expired
480,M00481,Member 481,Female,38,monthly,gym,2025-08-23,2025-09-22,expired
481,M00482,Member 482,male,59,annual,football,2026-08-11,2027-08-11,active
482,M00483,Member 483,male,53,quarterly,basketball,2025-01-09,2025-04-09,expired
483,M00484,Member 484,male,35,quarterly,badminton,2025-03-15,2025-06-13,expired
484,M00485,Member 485,Female,38,monthly,badminton,2026-05-07,2026-06-06,expired
485,M00486,Member 486,Female,60,annual,football,2025-09-10,2026-09-10,active
486,M00487,Member 487,male,31,annual,swimming pool,2025-08-18,2026-08-18,expired
487,M00488,Member 488,Female,65,quarterly,badminton,2026-06-03,2026-09-01,active
488,M00489,Member 489,Female,57,monthly,football,2025-06-23,2025-07-23,expired
489,M00490,Member 490,male,23,monthly,basketball,2025-06-17,2025-07-17,expired
490,M00491,Member 491,Female,65,monthly,football,2025-06-19,2025-07-19,expired
491,M00492,Member 492,Female,36,monthly,badminton,2026-01-28,2026-02-27,expired
492,M00493,Member 493,male,16,monthly,basketball,2025-07-13,2025-08-12,expired
493,M00494,Member 494,Female,23,annual,football,2026-06-01,2027-06-01,active
494,M00495,Member 495,male,44,monthly,gym,2025-01-29,2025-02-28,expired
495,M00496,Member 496,Female,47,monthly,basketball,2025-06-14,2025-07-14,expired
496,M00497,Member 497,Female,53,monthly,gym,2026-02-26,2026-03-28,expired
497,M00498,Member 498,Female,20,monthly,swimming pool,2025-12-05,2026-01-04,expired
498,M00499,Member 499,male,62,monthly,basketball,2026-05-11,2026-06-10,expired
499,M00500,Member 500,Female,37,monthly,gym,2025-12-31,2026-01-30,expired
500,M00501,Member 501,Female,62,monthly,badminton,2025-12-08,2026-01-07,expired
501,M00502,Member 502,male,49,quarterly,badminton,2026-05-15,2026-08-13,expired
502,M00503,Member 503,Female,16,annual,swimming pool,2026-05-26,2027-05-26,active
503,M00504,Member 504,male,41,monthly,basketball,2025-11-23,2025-12-23,expired
504,M00505,Member 505,Female,58,monthly,basketball,2025-08-05,2025-09-04,expired
505,M00506,Member 506,male,25,annual,basketball,2025-10-28,2026-10-28,active
506,M00507,Member 507,male,45,monthly,swimming pool,2025-05-12,2025-06-11,expired
507,M00508,Member 508,male,65,monthly,basketball,2025-03-11,2025-04-10,expired
508,M00509,Member 509,Female,33,annual,badminton,2025-09-09,2026-09-09,active
509,M00510,Member 510,male,32,monthly,gym,2026-02-19,2026-03-21,expired
510,M00511,Member 511,Female,41,quarterly,badminton,2026-03-21,2026-06-19,expired
511,M00512,Member 512,male,23,quarterly,badminton,2025-07-01,2025-09-29,expired
512,M00513,Member 513,male,62,monthly,gym,2025-06-16,2025-07-16,expired
513,M00514,Member 514,male,55,monthly,badminton,2025-04-01,2025-05-01,expired
514,M00515,Member 515,Female,64,quarterly,swimming pool,2026-06-15,2026-09-13,active
515,M00516,Member 516,male,27,monthly,gym,2025-02-08,2025-03-10,expired
516,M00517,Member 517,Female,42,monthly,badminton,2025-05-06,2025-06-05,expired
517,M00518,Member 518,Female,23,quarterly,football,2026-03-27,2026-06-25,expired
518,M00519,Member 519,Female,40,monthly,badminton,2025-06-22,2025-07-22,expired
519,M00520,Member 520,male,61,monthly,swimming pool,2025-08-08,2025-09-07,expired
520,M00521,Member 521,male,19,annual,basketball,2025-02-27,2026-02-27,expired
521,M00522,Member 522,Female,48,monthly,badminton,2026-04-21,2026-05-21,expired
522,M00523,Member 523,male,16,annual,basketball,2026-04-01,2027-04-01,active
523,M00524,Member 524,Female,34,quarterly,football,2025-12-27,2026-03-27,expired
524,M00525,Member 525,male,46,quarterly,badminton,2025-01-01,2025-04-01,expired
525,M00526,Member 526,Female,31,monthly,gym,2026-01-22,2026-02-21,expired
526,M00527,Member 527,Female,29,annual,basketball,2025-12-14,2026-12-14,active
527,M00528,Member 528,Female,63,monthly,football,2025-07-09,2025-08-08,expired
528,M00529,Member 529,male,20,quarterly,gym,2026-05-20,2026-08-18,expired
529,M00530,Member 530,Female,56,monthly,gym,2025-07-10,2025-08-09,expired
530,M00531,Member 531,male,41,monthly,gym,2026-05-23,2026-06-22,expired
531,M00532,Member 532,male,43,monthly,gym,2026-01-04,2026-02-03,expired
532,M00533,Member 533,Female,17,annual,badminton,2026-02-13,2027-02-13,active
533,M00534,Member 534,Female,65,annual,badminton,2025-04-27,2026-04-27,expired
534,M00535,Member 535,Female,21,monthly,badminton,2025-05-14,2025-06-13,expired
535,M00536,Member 536,Female,24,monthly,football,2025-02-27,2025-03-29,expired
536,M00537,Member 537,male,48,quarterly,football,2026-07-10,2026-10-08,active
537,M00538,Member 538,male,56,monthly,football,2025-06-22,2025-07-22,expired
538,M00539,Member 539,Female,40,monthly,swimming pool,2025-05-29,2025-06-28,expired
539,M00540,Member 540,male,63,quarterly,football,2025-03-21,2025-06-19,expired
540,M00541,Member 541,male,28,monthly,badminton,2025-08-01,2025-08-31,expired
541,M00542,Member 542,male,24,annual,badminton,2025-07-22,2026-07-22,expired
542,M00543,Member 543,male,28,monthly,swimming pool,2025-08-17,2025-09-16,expired
543,M00544,Member 544,male,46,monthly,swimming pool,2025-08-15,2025-09-14,expired
544,M00545,Member 545,male,56,monthly,football,2026-06-16,2026-07-16,expired
545,M00546,Member 546,male,26,quarterly,basketball,2026-03-17,2026-06-15,expired
546,M00547,Member 547,male,19,monthly,swimming pool,2026-02-06,2026-03-08,expired
547,M00548,Member 548,Female,49,quarterly,gym,2025-02-16,2025-05-17,expired
548,M00549,Member 549,male,53,monthly,badminton,2025-08-21,2025-09-20,expired
549,M00550,Member 550,male,61,annual,gym,2025-11-01,2026-11-01,active
550,M00551,Member 551,Female,19,monthly,badminton,2026-06-10,2026-07-10,expired
551,M00552,Member 552,male,53,monthly,badminton,2025-05-23,2025-06-22,expired
552,M00553,Member 553,Female,34,quarterly,swimming pool,2026-02-19,2026-05-20,expired
553,M00554,Member 554,Female,21,monthly,swimming pool,2026-05-28,2026-06-27,expired
554,M00555,Member 555,male,49,monthly,gym,2026-01-08,2026-02-07,expired
555,M00556,Member 556,male,33,annual,badminton,2026-07-20,2027-07-20,active
556,M00557,Member 557,Female,28,monthly,gym,2025-09-16,2025-10-16,expired
557,M00558,Member 558,Female,56,quarterly,basketball,2026-04-16,2026-07-15,expired
558,M00559,Member 559,male,38,monthly,gym,2025-01-12,2025-02-11,expired
559,M00560,Member 560,Female,34,quarterly,football,2025-11-26,2026-02-24,expired
560,M00561,Member 561,male,60,monthly,gym,2025-12-24,2026-01-23,expired
561,M00562,Member 562,Female,26,monthly,football,2026-02-12,2026-03-14,expired
562,M00563,Member 563,male,16,annual,football,2026-01-08,2027-01-08,active
563,M00564,Member 564,Female,39,quarterly,football,2025-01-08,2025-04-08,expired
564,M00565,Member 565,Female,22,monthly,basketball,2025-05-02,2025-06-01,expired
565,M00566,Member 566,Female,40,monthly,gym,2025-12-14,2026-01-13,expired
566,M00567,Member 567,male,36,annual,gym,2025-03-31,2026-03-31,expired
567,M00568,Member 568,male,30,monthly,basketball,2025-11-12,2025-12-12,expired
568,M00569,Member 569,male,16,quarterly,badminton,2025-06-27,2025-09-25,expired
569,M00570,Member 570,male,27,quarterly,swimming pool,2026-06-24,2026-09-22,active
570,M00571,Member 571,male,22,monthly,gym,2025-02-10,2025-03-12,expired
571,M00572,Member 572,Female,30,monthly,swimming pool,2026-05-17,2026-06-16,expired
572,M00573,Member 573,male,36,quarterly,basketball,2025-05-25,2025-08-23,expired
573,M00574,Member 574,male,34,monthly,badminton,2025-07-20,2025-08-19,expired
574,M00575,Member 575,Female,44,monthly,badminton,2026-04-06,2026-05-06,expired
575,M00576,Member 576,Female,40,annual,badminton,2026-07-12,2027-07-12,active
576,M00577,Member 577,Female,48,quarterly,basketball,2026-07-01,2026-09-29,active
577,M00578,Member 578,Female,64,quarterly,football,2025-09-10,2025-12-09,expired
578,M00579,Member 579,male,47,quarterly,football,2026-01-25,2026-04-25,expired
579,M00580,Member 580,male,64,quarterly,swimming pool,2026-08-17,2026-11-15,active
580,M00581,Member 581,Female,50,monthly,football,2025-09-13,2025-10-13,expired
581,M00582,Member 582,Female,59,monthly,football,2026-03-26,2026-04-25,expired
582,M00583,Member 583,male,53,monthly,badminton,2025-01-10,2025-02-09,expired
583,M00584,Member 584,Female,41,monthly,badminton,2025-08-30,2025-09-29,expired
584,M00585,Member 585,male,26,quarterly,swimming pool,2025-09-08,2025-12-07,expired
585,M00586,Member 586,male,50,monthly,gym,2025-01-05,2025-02-04,expired
586,M00587,Member 587,male,23,monthly,swimming pool,2025-04-29,2025-05-29,expired
587,M00588,Member 588,Female,61,monthly,swimming pool,2026-01-09,2026-02-08,expired
588,M00589,Member 589,Female,29,monthly,basketball,2025-03-06,2025-04-05,expired
589,M00590,Member 590,male,25,monthly,basketball,2025-05-26,2025-06-25,expired
590,M00591,Member 591,Female,17,monthly,swimming pool,2025-08-12,2025-09-11,expired
591,M00592,Member 592,male,61,monthly,swimming pool,2025-08-27,2025-09-26,expired
592,M00593,Member 593,male,24,monthly,swimming pool,2025-06-26,2025-07-26,expired
593,M00594,Member 594,Female,18,monthly,football,2025-10-09,2025-11-08,expired
594,M00595,Member 595,Female,36,quarterly,basketball,2025-03-04,2025-06-02,expired
595,M00596,Member 596,Female,41,monthly,swimming pool,2025-08-05,2025-09-04,expired
596,M00597,Member 597,Female,23,monthly,badminton,2026-04-06,2026-05-06,expired
597,M00598,Member 598,Female,63,quarterly,badminton,2025-04-15,2025-07-14,expired
598,M00599,Member 599,Female,17,monthly,football,2025-04-09,2025-05-09,expired
599,M00600,Member 600,male,21,annual,football,2026-05-26,2027-05-26,active
