member_id,attendance_date,facility,check_in_time
M00433,2026-06-23,Basketball,17:45
M00401,2026-01-19,Football,15:30
M00200,2026-06-29,Football,18:00
M00135,2026-03-24,Football,07:30
M00469,2026-06-17,Swimming Pool,10:45
M00495,2026-03-16,Swimming Pool,12:15
M00201,2026-07-08,Gym,17:00
M00152,2026-04-07,Basketball,11:00
M00099,2026-04-02,Basketball,11:00
M00121,2026-05-12,Badminton,19:15
M00414,2026-03-04,Gym,09:15
M00407,2026-05-06,Badminton,11:45
M00092,2026-07-19,Basketball,18:30
M00456,2026-04-05,Gym,09:00
M00085,2026-02-01,Basketball,13:00
M00587,2026-05-27,Basketball,14:00
M00186,2026-04-09,Basketball,19:30
M00586,2026-02-02,Gym,16:00
M00551,2026-02-17,Basketball,06:45
M00570,2026-07-29,Football,21:00
M00532,2026-08-03,Football,09:15
M00121,2026-02-16,Football,11:00
M00569,2026-04-25,Badminton,09:00
M00132,2026-05-28,Swimming Pool,11:00
M00576,2026-03-07,Gym,08:00
M00519,2026-03-18,Badminton,11:45
M00001,2026-03-05,Badminton,07:30
M00547,2026-04-24,Swimming Pool,21:30
M00536,2026-08-22,Badminton,12:00
M00046,2026-03-02,Gym,12:15
M00307,2026-08-08,Swimming Pool,10:15
M00368,2026-03-13,Swimming Pool,19:00
M00564,2026-03-07,Badminton,18:15
M00410,2026-04-27,Gym,14:45
M00147,2026-05-18,Swimming Pool,08:30
M00198,2026-07-02,Badminton,11:45
M00158,2026-03-22,Basketball,18:00
M00254,2026-01-20,Badminton,09:00
M00562,2026-04-15,Gym,16:00
M00372,2026-08-21,Badminton,14:15
M00232,2026-03-12,Gym,09:45
M00228,2026-04-07,Gym,09:15
M00540,2026-07-06,Badminton,21:00
M00542,2026-03-31,Football,15:30
M00102,2026-08-18,Gym,11:30
M00399,2026-02-16,Badminton,18:45
M00131,2026-03-08,Gym,10:15
M00147,2026-04-07,Football,14:00
M00380,2026-07-01,Swimming Pool,19:45
M00188,2026-04-23,Badminton,20:30
M00283,2026-04-20,Football,13:30
M00090,2026-08-31,Badminton,19:30
M00093,2026-06-12,Gym,08:15
M00096,2026-02-12,Football,07:00
M00293,2026-05-22,Basketball,06:45
M00521,2026-08-27,Swimming Pool,21:45
M00528,2026-06-25,Football,09:45
M00015,2026-06-07,Swimming Pool,06:45
M00548,2026-07-11,Badminton,13:00
M00460,2026-02-13,Football,13:15
M00077,2026-04-04,Swimming Pool,17:00
M00433,2026-05-07,Basketball,11:30
M00116,2026-03-28,Swimming Pool,09:30
M00307,2026-05-04,Badminton,14:15
M00003,2026-07-08,Football,18:15
M00313,2026-08-26,Football,07:45
M00500,2026-01-15,Badminton,06:45
M00337,2026-03-18,Badminton,09:00
M00359,2026-08-16,Swimming Pool,18:30
M00010,2026-01-26,Basketball,21:15
M00087,2026-05-16,Football,10:45
M00127,2026-08-22,Basketball,06:15
M00257,2026-02-27,Basketball,18:30
M00307,2026-04-04,Basketball,11:30
M00112,2026-04-23,Basketball,11:15
M00363,2026-07-11,Basketball,06:30
M00204,2026-01-29,Swimming Pool,15:00
M00137,2026-04-12,Basketball,16:00
M00165,2026-06-20,Swimming Pool,21:30
M00122,2026-04-18,Basketball,21:15
M00333,2026-07-12,Basketball,18:15
M00113,2026-01-28,Gym,10:15
M00353,2026-05-09,Gym,13:00
M00351,2026-04-20,Football,06:45
M00492,2026-03-16,Badminton,21:00
M00440,2026-03-05,Football,10:15
M00256,2026-03-13,Gym,14:15
M00440,2026-02-20,Basketball,09:15
M00194,2026-08-07,Football,10:15
M00124,2026-02-03,Basketball,07:30
M00197,2026-08-26,Swimming Pool,19:00
M00205,2026-01-24,Gym,18:45
M00538,2026-03-20,Swimming Pool,13:30
M00437,2026-05-03,Gym,19:00
M00312,2026-01-29,Badminton,17:30
M00360,2026-07-02,Basketball,13:30
M00049,2026-02-16,Gym,06:00
M00330,2026-02-24,Badminton,21:30
M00104,2026-04-21,Swimming Pool,14:45
M00373,2026-03-27,Badminton,09:00
M00014,2026-06-24,Football,10:30
M00370,2026-07-09,Badminton,17:15
M00283,2026-02-23,Football,18:00
M00109,2026-02-03,Football,09:00
M00196,2026-02-19,Basketball,09:00
M00560,2026-06-08,Badminton,15:45
M00207,2026-05-17,Swimming Pool,07:15
M00197,2026-04-18,Football,14:30
M00375,2026-04-25,Gym,19:00
M00495,2026-04-18,Football,06:15
M00281,2026-06-28,Swimming Pool,15:00
M00580,2026-01-16,Swimming Pool,18:45
M00546,2026-08-11,Football,08:15
M00449,2026-07-12,Football,18:45
M00411,2026-06-05,Badminton,12:15
M00004,2026-02-10,Football,12:00
M00526,2026-04-27,Football,14:30
M00226,2026-03-17,Badminton,09:15
M00230,2026-01-12,Football,13:30
M00041,2026-06-13,Swimming Pool,14:15
M00277,2026-08-12,Gym,13:15
M00548,2026-01-30,Gym,17:30
M00333,2026-01-22,Football,14:15
M00419,2026-08-18,Football,15:30
M00059,2026-06-10,Gym,17:15
M00287,2026-02-15,Badminton,06:00
M00392,2026-08-31,Badminton,12:45
M00226,2026-03-25,Badminton,12:45
M00160,2026-04-25,Swimming Pool,19:30
M00152,2026-08-19,Basketball,08:45
M00186,2026-04-28,Swimming Pool,11:15
M00584,2026-05-06,Swimming Pool,15:00
M00318,2026-02-11,Swimming Pool,18:15
M00072,2026-02-06,Gym,19:15
M00466,2026-08-21,Basketball,09:15
M00013,2026-06-04,Gym,18:45
M00022,2026-01-29,Gym,07:15
M00255,2026-07-17,Gym,14:15
M00014,2026-07-22,Gym,09:30
M00088,2026-02-21,Swimming Pool,21:45
M00168,2026-03-20,Badminton,21:15
M00250,2026-01-15,Football,14:00
M00022,2026-07-31,Gym,09:30
M00106,2026-05-11,Basketball,10:00
M00230,2026-01-07,Swimming Pool,19:45
M00151,2026-04-01,Badminton,13:45
M00116,2026-05-06,Swimming Pool,09:15
M00105,2026-03-14,Badminton,08:30
M00122,2026-04-03,Gym,07:15
M00183,2026-04-20,Football,16:15
M00436,2026-02-08,Badminton,15:30
M00107,2026-03-11,Basketball,17:30
M00079,2026-07-21,Gym,10:15
M00328,2026-02-07,Basketball,20:45
M00069,2026-01-29,Football,19:30
M00149,2026-01-24,Badminton,10:15
M00395,2026-04-01,Badminton,21:45
M00493,2026-06-27,Basketball,16:15
M00252,2026-04-09,Basketball,21:45
M00546,2026-05-18,Swimming Pool,18:00
M00595,2026-07-03,Basketball,13:00
M00241,2026-04-03,Gym,12:00
M00372,2026-05-23,Basketball,10:00
M00062,2026-08-22,Badminton,17:15
M00302,2026-04-28,Swimming Pool,19:15
M00216,2026-07-31,Swimming Pool,07:15
M00121,2026-06-28,Swimming Pool,18:00
M00435,2026-04-06,Gym,09:00
M00489,2026-08-03,Football,11:00
M00151,2026-04-04,Swimming Pool,08:15
M00079,2026-01-04,Football,19:15
M00187,2026-05-01,Swimming Pool,15:45
M00422,2026-07-04,Badminton,20:00
M00294,2026-01-29,Swimming Pool,07:00
M00178,2026-05-09,Swimming Pool,06:45
M00434,2026-06-24,Basketball,14:30
M00233,2026-04-19,Swimming Pool,14:00
M00535,2026-04-07,Swimming Pool,12:45
M00058,2026-02-26,Basketball,11:00
M00480,2026-05-03,Badminton,18:45
M00169,2026-01-14,Badminton,19:15
M00277,2026-01-28,Gym,08:30
M00344,2026-01-08,Swimming Pool,15:15
M00555,2026-01-28,Gym,12:00
M00317,2026-02-18,Football,12:00
M00247,2026-03-10,Gym,07:45
M00047,2026-01-13,Badminton,08:30
M00009,2026-04-02,Badminton,18:15
M00323,2026-07-12,Basketball,17:15
M00100,2026-03-26,Basketball,09:15
M00025,2026-05-31,Basketball,21:00
M00298,2026-02-11,Swimming Pool,20:00
M00096,2026-07-03,Swimming Pool,12:15
M00165,2026-05-09,Football,16:45
M00135,2026-03-28,Badminton,17:45
M00041,2026-08-17,Basketball,13:15
M00077,2026-02-09,Football,21:00
M00016,2026-02-06,Badminton,08:45
M00097,2026-04-27,Badminton,11:30
M00166,2026-01-18,Badminton,17:30
M00092,2026-01-19,Swimming Pool,20:30
M00485,2026-03-07,Basketball,10:00
M00583,2026-05-05,Gym,17:30
M00411,2026-04-15,Football,10:45
M00376,2026-05-12,Football,16:30
M00086,2026-06-24,Basketball,20:30
M00044,2026-06-08,Gym,13:00
M00159,2026-08-07,Gym,15:45
M00163,2026-05-26,Basketball,08:15
M00398,2026-08-12,Basketball,08:30
M00478,2026-04-30,Football,20:00
M00088,2026-02-16,Gym,18:45
M00205,2026-04-13,Badminton,08:30
M00351,2026-06-04,Basketball,12:45
M00118,2026-03-13,Basketball,07:15
M00482,2026-02-07,Swimming Pool,16:00
M00390,2026-01-16,Badminton,19:45
M00219,2026-01-14,Swimming Pool,06:45
M00277,2026-03-06,Swimming Pool,08:15
M00071,2026-03-12,Basketball,08:30
M00463,2026-08-12,Basketball,12:30
M00189,2026-08-01,Gym,08:45
M00351,2026-07-12,Badminton,11:15
M00358,2026-08-30,Basketball,21:45
M00549,2026-06-26,Swimming Pool,19:30
M00585,2026-04-10,Gym,12:00
M00593,2026-06-07,Swimming Pool,16:30
M00015,2026-02-08,Basketball,10:45
M00325,2026-01-30,Basketball,14:00
M00462,2026-08-30,Swimming Pool,20:00
M00038,2026-02-25,Swimming Pool,19:15
M00387,2026-02-25,Badminton,12:15
M00591,2026-01-04,Badminton,17:00
M00310,2026-08-18,Badminton,09:45
M00467,2026-04-16,Basketball,17:30
M00556,2026-04-20,Football,16:00
M00181,2026-04-28,Basketball,17:15
M00567,2026-06-02,Swimming Pool,19:45
M00292,2026-08-05,Basketball,15:00
M00090,2026-07-26,Gym,08:00
M00422,2026-01-27,Basketball,09:45
M00516,2026-05-29,Gym,15:45
M00217,2026-02-27,Basketball,18:00
M00201,2026-08-08,Basketball,09:30
M00476,2026-04-16,Basketball,06:30
M00230,2026-05-10,Badminton,14:30
M00315,2026-08-03,Basketball,13:00
M00425,2026-01-09,Gym,06:15
M00384,2026-08-04,Football,16:30
M00175,2026-05-27,Basketball,13:45
M00198,2026-06-07,Basketball,07:45
M00132,2026-08-29,Basketball,11:45
M00326,2026-05-13,Swimming Pool,19:15
M00102,2026-07-01,Swimming Pool,09:45
M00267,2026-08-03,Football,11:30
M00209,2026-01-24,Gym,06:45
M00012,2026-06-10,Football,10:00
M00557,2026-08-24,Gym,18:00
M00134,2026-04-27,Badminton,11:15
M00228,2026-03-18,Swimming Pool,13:45
M00267,2026-06-18,Gym,14:00
M00148,2026-06-10,Gym,09:00
M00471,2026-08-26,Football,09:00
M00146,2026-03-14,Badminton,11:00
M00080,2026-05-07,Badminton,12:45
M00104,2026-05-06,Gym,19:00
M00499,2026-06-10,Gym,12:45
M00385,2026-08-16,Badminton,20:15
M00185,2026-03-18,Gym,11:00
M00121,2026-03-29,Badminton,21:00
M00163,2026-05-14,Badminton,09:15
M00031,2026-05-18,Gym,10:15
M00374,2026-01-30,Swimming Pool,06:30
M00142,2026-02-26,Gym,10:30
M00281,2026-05-04,Swimming Pool,08:30
M00565,2026-06-16,Badminton,20:45
M00447,2026-05-12,Basketball,12:30
M00178,2026-02-20,Badminton,18:00
M00598,2026-07-23,Football,15:15
M00211,2026-07-04,Basketball,19:45
M00434,2026-06-02,Badminton,16:00
M00393,2026-04-20,Swimming Pool,17:30
M00066,2026-04-26,Swimming Pool,07:30
M00420,2026-03-17,Football,17:45
M00031,2026-01-30,Swimming Pool,16:45
M00191,2026-04-02,Swimming Pool,08:15
M00381,2026-04-06,Swimming Pool,16:00
M00010,2026-03-23,Gym,16:15
M00477,2026-05-26,Badminton,13:00
M00395,2026-03-14,Football,12:15
M00106,2026-05-24,Badminton,08:45
M00446,2026-03-23,Badminton,12:15
M00051,2026-07-25,Basketball,21:00
M00282,2026-04-18,Gym,09:45
M00176,2026-06-03,Badminton,18:15
M00591,2026-01-06,Badminton,06:00
M00473,2026-03-14,Swimming Pool,18:00
M00547,2026-08-24,Football,07:30
M00017,2026-01-18,Basketball,09:45
M00309,2026-03-12,Badminton,17:45
M00082,2026-05-23,Badminton,21:00
M00403,2026-03-18,Basketball,21:00
M00383,2026-08-29,Football,09:00
M00230,2026-01-13,Gym,10:00
M00331,2026-08-09,Basketball,13:15
M00091,2026-02-18,Badminton,06:00
M00266,2026-08-15,Gym,09:00
M00312,2026-01-20,Badminton,16:45
M00277,2026-06-28,Swimming Pool,10:45
M00123,2026-02-02,Badminton,10:45
M00458,2026-06-21,Gym,13:45
M00502,2026-03-13,Badminton,21:15
M00095,2026-03-09,Badminton,08:30
M00572,2026-08-02,Swimming Pool,12:00
M00077,2026-05-07,Gym,12:00
M00222,2026-04-30,Basketball,12:45
M00108,2026-03-29,Swimming Pool,16:30
M00465,2026-06-17,Swimming Pool,09:15
M00225,2026-08-23,Badminton,18:45
M00526,2026-02-21,Basketball,12:00
M00285,2026-04-19,Swimming Pool,15:00
M00151,2026-04-29,Gym,09:15
M00017,2026-08-17,Basketball,11:30
M00030,2026-05-02,Football,20:30
M00272,2026-01-31,Football,08:30
M00442,2026-02-24,Swimming Pool,18:45
M00521,2026-03-27,Gym,20:30
M00379,2026-01-26,Gym,18:45
M00199,2026-03-17,Swimming Pool,18:15
M00283,2026-05-16,Football,21:45
M00112,2026-06-24,Gym,13:00
M00225,2026-01-30,Gym,07:30
M00245,2026-01-17,Football,09:30
M00232,2026-08-14,Football,18:45
M00403,2026-01-26,Swimming Pool,14:45
M00211,2026-02-13,Swimming Pool,17:30
M00295,2026-07-07,Gym,09:15
M00516,2026-08-21,Football,21:30
M00245,2026-02-13,Badminton,08:15
M00192,2026-03-27,Basketball,10:00
M00486,2026-04-20,Badminton,06:15
M00271,2026-08-14,Gym,11:00
M00361,2026-05-02,Football,06:45
M00254,2026-05-01,Gym,07:00
M00581,2026-06-24,Badminton,13:15
M00151,2026-07-18,Gym,09:30
M00344,2026-04-26,Basketball,17:30
M00499,2026-03-06,Badminton,20:00
M00362,2026-03-19,Badminton,21:00
M00277,2026-06-25,Football,06:15
M00421,2026-08-08,Swimming Pool,10:30
M00510,2026-01-08,Swimming Pool,19:30
M00212,2026-07-10,Gym,12:45
M00111,2026-03-12,Football,20:15
M00272,2026-08-22,Badminton,16:45
M00428,2026-08-30,Badminton,15:15
M00043,2026-05-29,Football,16:00
M00444,2026-07-23,Basketball,17:30
M00113,2026-01-03,Basketball,10:45
M00154,2026-05-14,Badminton,11:30
M00499,2026-03-15,Gym,15:00
M00465,2026-01-11,Swimming Pool,15:00
M00055,2026-05-06,Badminton,06:45
M00361,2026-06-19,Gym,07:30
M00142,2026-03-31,Badminton,10:00
M00278,2026-02-06,Swimming Pool,19:00
M00298,2026-02-26,Gym,21:30
M00255,2026-07-27,Basketball,19:45
M00101,2026-08-17,Badminton,15:30
M00178,2026-05-25,Basketball,16:15
M00205,2026-03-06,Swimming Pool,19:15
M00309,2026-03-20,Gym,15:45
M00559,2026-02-16,Basketball,19:00
M00142,2026-05-15,Basketball,16:30
M00480,2026-04-01,Basketball,20:45
M00421,2026-04-29,Gym,06:45
M00091,2026-07-13,Swimming Pool,15:15
M00595,2026-05-12,Badminton,10:30
M00055,2026-07-13,Basketball,10:45
M00007,2026-04-29,Football,20:00
M00087,2026-01-15,Badminton,09:30
M00100,2026-07-30,Badminton,21:30
M00063,2026-02-01,Football,07:15
M00529,2026-02-06,Football,21:15
M00229,2026-08-18,Swimming Pool,15:30
M00007,2026-07-26,Basketball,12:00
M00069,2026-01-01,Swimming Pool,09:00
M00254,2026-02-22,Gym,21:00
M00518,2026-04-24,Basketball,07:00
M00308,2026-04-14,Basketball,11:15
M00560,2026-03-08,Football,20:00
M00443,2026-02-07,Gym,11:15
M00247,2026-02-13,Football,12:45
M00492,2026-03-16,Badminton,09:45
M00377,2026-06-20,Badminton,18:45
M00110,2026-04-29,Basketball,19:15
M00029,2026-03-14,Basketball,09:45
M00012,2026-05-29,Badminton,07:45
M00044,2026-08-21,Badminton,10:45
M00470,2026-03-12,Gym,11:30
M00513,2026-08-08,Football,12:30
M00538,2026-04-10,Football,08:15
M00156,2026-04-01,Football,16:45
M00144,2026-03-13,Badminton,18:00
M00496,2026-04-07,Basketball,11:30
M00133,2026-06-28,Badminton,17:45
M00070,2026-01-12,Gym,11:15
M00099,2026-06-20,Gym,21:45
M00332,2026-07-14,Swimming Pool,13:00
M00179,2026-07-06,Basketball,19:00
M00064,2026-06-06,Badminton,09:00
M00075,2026-04-24,Badminton,06:15
M00329,2026-01-28,Basketball,18:15
M00588,2026-05-23,Swimming Pool,12:30
M00503,2026-04-23,Badminton,13:15
M00166,2026-04-22,Football,12:00
M00597,2026-01-07,Gym,12:00
M00144,2026-08-17,Gym,17:45
M00582,2026-05-20,Gym,16:15
M00541,2026-05-08,Swimming Pool,12:45
M00513,2026-04-01,Badminton,10:00
M00450,2026-04-20,Basketball,08:00
M00131,2026-07-20,Football,15:00
M00121,2026-05-08,Swimming Pool,07:30
M00024,2026-02-27,Badminton,14:45
M00367,2026-01-18,Swimming Pool,15:00
M00548,2026-05-28,Swimming Pool,15:45
M00059,2026-05-20,Gym,21:30
M00031,2026-01-09,Badminton,19:30
M00206,2026-03-27,Gym,10:15
M00561,2026-07-29,Badminton,07:15
M00506,2026-01-19,Football,07:30
M00073,2026-04-17,Football,08:45
M00133,2026-03-11,Gym,09:00
M00509,2026-05-10,Swimming Pool,17:45
M00490,2026-03-19,Swimming Pool,06:00
M00027,2026-07-18,Swimming Pool,18:00
M00566,2026-05-04,Gym,18:45
M00129,2026-04-21,Basketball,10:00
M00449,2026-01-31,Football,17:30
M00199,2026-03-29,Basketball,07:15
M00238,2026-01-24,Football,06:15
M00423,2026-07-11,Football,07:00
M00256,2026-07-28,Gym,08:00
M00130,2026-04-23,Swimming Pool,15:00
M00322,2026-03-31,Football,13:30
M00133,2026-06-05,Basketball,21:00
M00079,2026-01-20,Badminton,12:45
M00366,2026-08-18,Swimming Pool,20:30
M00376,2026-07-19,Football,15:15
M00540,2026-08-17,Badminton,16:00
M00056,2026-03-30,Basketball,21:30
M00081,2026-02-22,Swimming Pool,13:30
M00567,2026-02-23,Gym,17:15
M00037,2026-03-02,Basketball,20:00
M00022,2026-05-08,Gym,14:30
M00394,2026-03-18,Gym,07:30
M00394,2026-05-07,Gym,18:45
M00455,2026-01-12,Swimming Pool,12:45
M00189,2026-06-18,Basketball,07:30
M00033,2026-05-19,Badminton,06:30
M00269,2026-07-27,Football,12:00
M00350,2026-07-05,Football,19:45
M00059,2026-07-26,Gym,18:30
M00548,2026-04-29,Basketball,14:15
M00391,2026-04-30,Swimming Pool,10:00
M00288,2026-07-24,Badminton,08:15
M00556,2026-03-17,Badminton,18:00
M00281,2026-04-03,Badminton,14:00
M00128,2026-03-20,Football,16:30
M00184,2026-04-24,Basketball,06:45
M00010,2026-04-30,Gym,17:45
M00570,2026-02-25,Basketball,07:00
M00284,2026-08-18,Football,16:00
M00452,2026-02-16,Badminton,14:30
M00507,2026-02-02,Swimming Pool,11:15
M00051,2026-03-01,Gym,07:15
M00519,2026-08-09,Basketball,16:00
M00567,2026-07-03,Swimming Pool,07:30
M00264,2026-01-05,Badminton,07:15
M00359,2026-01-28,Gym,20:00
M00524,2026-01-20,Swimming Pool,12:30
M00585,2026-04-06,Basketball,08:45
M00290,2026-02-06,Gym,16:30
M00344,2026-04-15,Badminton,21:30
M00032,2026-02-11,Badminton,07:30
M00154,2026-08-22,Football,06:00
M00217,2026-07-26,Badminton,17:15
M00388,2026-08-01,Football,07:15
M00391,2026-07-15,Gym,08:15
M00579,2026-05-09,Football,19:00
M00541,2026-07-24,Gym,21:45
M00325,2026-03-10,Swimming Pool,15:15
M00337,2026-03-04,Badminton,13:45
M00323,2026-07-11,Gym,13:45
M00420,2026-04-03,Gym,17:00
M00371,2026-06-17,Basketball,13:45
M00429,2026-02-28,Football,10:15
M00418,2026-06-22,Football,10:30
M00294,2026-03-29,Badminton,09:00
M00419,2026-04-18,Football,10:45
M00203,2026-08-19,Swimming Pool,20:00
M00171,2026-01-31,Basketball,14:45
M00104,2026-02-02,Gym,19:00
M00171,2026-01-19,Swimming Pool,18:45
M00363,2026-02-02,Basketball,13:30
M00122,2026-03-28,Badminton,09:00
M00076,2026-07-09,Badminton,20:45
M00461,2026-07-09,Basketball,15:45
M00138,2026-07-07,Swimming Pool,08:15
M00008,2026-06-01,Football,17:45
M00389,2026-03-24,Basketball,11:30
M00100,2026-03-01,Badminton,21:30
M00050,2026-05-25,Football,19:30
M00331,2026-04-09,Badminton,11:15
M00043,2026-07-28,Swimming Pool,19:30
M00589,2026-08-14,Football,16:00
M00356,2026-03-14,Swimming Pool,09:30
M00281,2026-05-05,Basketball,13:15
M00296,2026-08-29,Badminton,09:15
M00286,2026-02-06,Gym,12:15
M00029,2026-06-03,Gym,12:00
M00501,2026-08-02,Gym,17:15
M00289,2026-08-30,Football,19:45
M00534,2026-02-02,Basketball,15:00
M00123,2026-04-24,Basketball,21:30
M00089,2026-08-10,Swimming Pool,14:00
M00363,2026-07-25,Gym,13:00
M00335,2026-02-10,Football,16:30
M00465,2026-06-11,Football,08:30
M00040,2026-04-21,Gym,16:15
M00572,2026-06-19,Gym,06:15
M00141,2026-05-31,Basketball,13:15
M00272,2026-05-01,Swimming Pool,21:15
M00509,2026-03-14,Swimming Pool,12:00
M00529,2026-08-08,Swimming Pool,06:45
M00069,2026-05-06,Football,12:15
M00040,2026-04-18,Badminton,18:15
M00358,2026-05-04,Football,11:30
M00238,2026-08-13,Badminton,21:45
M00402,2026-06-03,Badminton,21:30
M00099,2026-02-26,Gym,15:45
M00458,2026-03-25,Swimming Pool,19:00
M00181,2026-04-29,Badminton,09:30
M00408,2026-06-30,Swimming Pool,21:45
M00422,2026-06-25,Swimming Pool,06:30
M00275,2026-05-10,Swimming Pool,19:00
M00576,2026-07-17,Badminton,14:30
M00422,2026-04-11,Basketball,19:45
M00267,2026-08-22,Gym,14:45
M00225,2026-03-28,Gym,15:45
M00420,2026-02-26,Football,11:15
M00113,2026-08-31,Football,16:15
M00553,2026-01-06,Gym,18:00
M00342,2026-08-22,Badminton,08:00
M00532,2026-02-23,Badminton,12:15
M00549,2026-04-12,Swimming Pool,15:15
M00383,2026-03-26,Basketball,12:15
M00014,2026-01-10,Gym,09:45
M00497,2026-01-11,Swimming Pool,15:30
M00025,2026-02-28,Swimming Pool,07:30
M00127,2026-07-28,Basketball,18:15
M00277,2026-08-09,Gym,08:00
M00517,2026-07-04,Basketball,06:00
M00555,2026-06-04,Swimming Pool,09:45
M00199,2026-08-01,Football,15:30
M00436,2026-05-12,Gym,15:30
M00470,2026-02-21,Gym,14:45
M00386,2026-03-16,Basketball,08:15
M00417,2026-05-24,Badminton,21:30
M00547,2026-05-10,Swimming Pool,18:00
M00509,2026-07-06,Basketball,17:00
M00464,2026-02-27,Football,06:45
M00238,2026-04-25,Badminton,21:00
M00319,2026-03-27,Swimming Pool,08:00
M00575,2026-02-13,Swimming Pool,21:15
M00086,2026-02-06,Basketball,21:15
M00061,2026-07-16,Basketball,14:45
M00319,2026-07-09,Badminton,10:00
M00330,2026-06-26,Football,19:00
M00275,2026-06-26,Swimming Pool,21:45
M00321,2026-06-16,Swimming Pool,16:45
M00495,2026-05-12,Football,08:00
M00436,2026-06-29,Gym,18:15
M00014,2026-02-11,Football,09:15
M00203,2026-04-23,Gym,07:45
M00508,2026-02-13,Football,21:15
M00561,2026-04-18,Basketball,06:30
M00121,2026-04-22,Badminton,14:30
M00381,2026-05-25,Swimming Pool,10:30
M00536,2026-06-25,Swimming Pool,17:30
M00484,2026-04-29,Swimming Pool,16:15
M00169,2026-05-15,Basketball,06:30
M00427,2026-02-15,Swimming Pool,21:00
M00006,2026-03-21,Swimming Pool,12:00
M00551,2026-04-28,Badminton,09:00
M00480,2026-06-02,Swimming Pool,08:30
M00573,2026-08-15,Swimming Pool,17:00
M00198,2026-03-12,Badminton,19:30
M00377,2026-06-09,Basketball,14:15
M00080,2026-06-01,Swimming Pool,09:15
M00287,2026-02-15,Badminton,09:15
M00535,2026-05-31,Basketball,16:30
M00485,2026-02-23,Swimming Pool,06:15
M00222,2026-01-24,Football,10:15
M00169,2026-05-02,Gym,16:00
M00054,2026-02-05,Football,20:45
M00484,2026-03-25,Badminton,09:15
M00574,2026-04-11,Basketball,18:45
M00364,2026-03-21,Football,16:00
M00220,2026-02-12,Badminton,10:45
M00574,2026-04-24,Basketball,14:00
M00572,2026-08-19,Basketball,17:15
M00026,2026-08-10,Badminton,20:30
M00435,2026-02-24,Football,12:45
M00384,2026-02-15,Gym,12:45
M00370,2026-05-15,Swimming Pool,06:30
M00337,2026-01-25,Badminton,14:00
M00280,2026-01-09,Badminton,21:45
M00045,2026-06-28,Badminton,14:00
M00586,2026-07-30,Gym,21:45
M00503,2026-02-14,Basketball,09:00
M00379,2026-01-08,Football,10:15
M00135,2026-01-22,Basketball,09:00
M00455,2026-06-13,Gym,16:00
M00558,2026-03-13,Swimming Pool,06:30
M00325,2026-08-18,Swimming Pool,17:00
M00413,2026-04-17,Gym,08:15
M00514,2026-02-07,Badminton,08:15
M00455,2026-01-12,Badminton,12:45
M00178,2026-06-12,Gym,15:30
M00575,2026-03-31,Gym,16:45
M00582,2026-08-03,Gym,20:00
M00120,2026-08-24,Gym,11:00
M00191,2026-03-23,Football,06:15
M00011,2026-02-25,Badminton,20:00
M00253,2026-03-20,Swimming Pool,10:30
M00055,2026-04-08,Badminton,11:30
M00144,2026-05-25,Badminton,19:15
M00193,2026-03-11,Swimming Pool,11:30
M00266,2026-06-28,Basketball,14:00
M00502,2026-04-01,Football,17:30
M00536,2026-04-26,Swimming Pool,07:45
M00160,2026-05-18,Football,12:45
M00356,2026-06-15,Badminton,12:30
M00516,2026-05-22,Badminton,08:15
M00265,2026-02-25,Basketball,14:00
M00119,2026-05-13,Swimming Pool,21:15
M00479,2026-05-31,Badminton,17:45
M00035,2026-03-24,Gym,17:00
M00163,2026-04-18,Basketball,16:30
M00103,2026-02-17,Badminton,15:15
M00479,2026-05-20,Swimming Pool,06:45
M00468,2026-06-01,Football,19:45
M00485,2026-08-02,Swimming Pool,14:30
M00346,2026-05-04,Basketball,15:00
M00240,2026-07-15,Football,09:45
M00437,2026-07-18,Badminton,18:00
M00168,2026-05-12,Swimming Pool,15:15
M00582,2026-07-12,Swimming Pool,10:30
M00056,2026-01-24,Badminton,10:30
M00470,2026-04-12,Swimming Pool,20:00
M00152,2026-02-21,Swimming Pool,15:30
M00083,2026-02-17,Swimming Pool,12:45
M00093,2026-07-05,Swimming Pool,10:30
M00006,2026-05-03,Swimming Pool,17:00
M00483,2026-05-21,Basketball,12:45
M00386,2026-08-01,Basketball,13:00
M00397,2026-02-02,Badminton,10:45
M00335,2026-08-18,Badminton,19:45
M00547,2026-01-19,Badminton,21:00
M00228,2026-08-15,Football,11:15
M00378,2026-04-03,Badminton,06:45
M00080,2026-06-15,Swimming Pool,10:45
M00193,2026-01-12,Swimming Pool,15:45
M00096,2026-03-28,Basketball,11:45
M00155,2026-03-14,Badminton,18:45
M00036,2026-03-08,Basketball,11:15
M00408,2026-06-24,Football,09:45
M00085,2026-03-30,Gym,18:00
M00165,2026-03-23,Swimming Pool,18:45
M00012,2026-05-05,Basketball,19:00
M00311,2026-04-19,Badminton,09:45
M00515,2026-04-06,Basketball,16:30
M00115,2026-07-21,Swimming Pool,19:45
M00082,2026-02-08,Gym,16:30
M00203,2026-05-12,Football,20:45
M00050,2026-04-29,Badminton,07:00
M00502,2026-04-28,Badminton,07:30
M00259,2026-04-19,Badminton,15:00
M00556,2026-03-10,Swimming Pool,15:30
M00428,2026-01-05,Basketball,16:30
M00037,2026-06-02,Gym,17:00
M00545,2026-07-09,Basketball,13:15
M00087,2026-05-17,Gym,10:15
